Rank,Title,Rating,Director,Actor,Countries,Type,ReleaseTime,Duration (Mintue),FirstWeekIncome (10k),TotalIncome (10k),Link
75,爱在日落黄昏时,8.7,理查德·林克莱特,"伊桑·霍克,朱莉·德尔佩,弗农·多布切夫",美国," 剧情 , 爱情 ",2015/4/20,80,暂无,暂无,https://maoyan.com/films/1287
76,穿条纹睡衣的男孩,9,马克·赫尔曼,"阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯","英国,美国"," 剧情 , 战争 ",2008/8/28,94,暂无,暂无,https://maoyan.com/films/38099
77,心灵捕手,8.4,格斯·范·桑特,"罗宾·威廉姆斯,马特·达蒙,明妮·德里弗",美国, 剧情 ,1997/12/5,126,暂无,暂无,https://maoyan.com/films/1575
78,剪刀手爱德华,8.8,蒂姆·波顿,"约翰尼·德普,薇诺娜·瑞德,黛安娜·维斯特",美国," 剧情 , 爱情 , 奇幻 ",1990/12/6,105,暂无,暂无,https://maoyan.com/films/513
79,重庆森林,8.6,王家卫,"梁朝伟,王菲,金城武",中国香港," 剧情 , 悬疑 , 爱情 ",1994/7/14,102,暂无,暂无,https://maoyan.com/films/1290
80,辩护人,8.8,杨宇硕,"宋康昊,郭度沅,吴达洙",韩国, 剧情 ,2013/12/18,127,暂无,暂无,https://maoyan.com/films/246433
81,控方证人,8.5,比利·怀德,"泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿",美国," 剧情 , 悬疑 , 犯罪 ",1957/12/17,116,暂无,暂无,https://maoyan.com/films/4430
82,素媛,9.1,李濬益,"李甄,薛耿求,严智苑",韩国, 剧情 ,2013/10/2,122,暂无,暂无,https://maoyan.com/films/78538
83,波西米亚狂想曲,9.4,布莱恩·辛格,"拉米·马雷克,本·哈迪,约瑟夫•梅泽罗",英国," 剧情 , 音乐 , 传记 ",2019/3/22,134,4181,9907,https://maoyan.com/films/1167831
84,断背山,8.9,李安,"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯","美国,加拿大"," 剧情 , 爱情 , 家庭 ",2005/9/2,134,暂无,暂无,https://maoyan.com/films/14652
85,时空恋旅人,8.9,理查德·柯蒂斯,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",英国," 喜剧 , 爱情 , 奇幻 ",2013/9/4,123,暂无,暂无,https://maoyan.com/films/78312
